"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.970912060E-1,-1.675941236E-2,-6.943184882E-2,9.852438927E0,9.852697827E0
5.990909390E-1,-4.548983276E-2,-8.140286058E-2,9.926659584E0,9.927097574E0
6.010906720E-1,-6.703764945E-2,-7.661445439E-2,9.950601578E0,9.951122328E0
6.030904050E-1,-8.379705995E-2,-8.140286058E-2,9.912294388E0,9.912982821E0
6.050901380E-1,-5.985504389E-2,-9.097966552E-2,9.883563995E0,9.884163959E0
6.070898710E-1,-5.985504389E-2,-9.097966552E-2,9.854833603E0,9.855435316E0
6.090896040E-1,-2.633621916E-2,-7.900865376E-2,9.806949615E0,9.807303234E0
6.110893370E-1,-3.112462163E-2,-6.943184882E-2,9.792584419E0,9.792880022E0
6.130891370E-1,-3.112462163E-2,-5.746084079E-2,9.749488831E0,9.749707839E0
6.150888700E-1,-1.675941236E-2,-6.943184882E-2,9.706393242E0,9.706656037E0
6.170886030E-1,-4.788403399E-3,-6.703764945E-2,9.718363762E0,9.718596153E0
6.190883360E-1,1.915361360E-2,-7.422025502E-2,9.806949615E0,9.807249169E0
6.210880690E-1,2.154781483E-2,-7.661445439E-2,9.850045204E0,9.850366724E0
6.230878020E-1,4.788403399E-3,-9.576806426E-2,9.972148895E0,9.972609891E0
6.250875350E-1,-1.915361360E-2,-8.619125932E-2,1.008228302E1,1.008266962E1
6.270873350E-1,-2.873042040E-2,-8.379705995E-2,1.011580181E1,1.011618968E1
6.290871350E-1,-2.873042040E-2,-8.619125932E-2,1.014692593E1,1.014733266E1
6.310869010E-1,-1.436521020E-2,-9.337386489E-2,1.012298393E1,1.012342475E1
6.330866670E-1,-1.915361360E-2,-8.858546615E-2,1.007031155E1,1.007071938E1
6.350864330E-1,-1.197100803E-2,-8.140286058E-2,9.962572098E0,9.962911850E0
6.370861990E-1,-7.182605099E-3,-7.422025502E-2,9.895534515E0,9.895815458E0
6.390859650E-1,-9.576806799E-3,-5.506663769E-2,9.756670952E0,9.756831049E0
6.410857310E-1,-1.197100803E-2,-4.788403213E-2,9.608230591E0,9.608357366E0
6.430855640E-1,0.000000000E0,-3.830722719E-2,9.569923401E0,9.570000070E0
6.450853970E-1,1.675941236E-2,-5.027823523E-2,9.560346603E0,9.560493500E0
6.470851630E-1,2.633621916E-2,-6.224924326E-2,9.593865395E0,9.594103490E0
6.490849290E-1,1.675941236E-2,-6.943184882E-2,9.701604843E0,9.701867768E0
6.510846950E-1,-9.576806799E-3,-6.224924326E-2,9.818920135E0,9.819122125E0
6.530844610E-1,-1.436521020E-2,-5.267243832E-2,9.857227325E0,9.857378520E0
6.550842270E-1,-2.633621916E-2,-4.788403213E-2,9.931447983E0,9.931598336E0
6.570839930E-1,-2.873042040E-2,-4.309562966E-2,9.962572098E0,9.962706734E0
6.590838260E-1,-4.548983276E-2,-4.788403213E-2,9.960178375E0,9.960397355E0
6.610835920E-1,-3.591302410E-2,-5.506663769E-2,9.962572098E0,9.962789011E0
6.630833580E-1,-3.591302410E-2,-5.027823523E-2,9.957783699E0,9.957975389E0
6.650831240E-1,-4.788403213E-2,-4.548983276E-2,9.926659584E0,9.926879303E0
6.670828900E-1,-4.548983276E-2,-4.309562966E-2,9.840468407E0,9.840667915E0
6.690826560E-1,-5.506663769E-2,-5.267243832E-2,9.811738014E0,9.812033917E0
6.710824220E-1,-4.070143029E-2,-7.422025502E-2,9.804554939E0,9.804920337E0
6.730821880E-1,-4.548983276E-2,-8.379705995E-2,9.809343338E0,9.809806726E0
6.750820210E-1,-4.070143029E-2,-8.140286058E-2,9.835680008E0,9.836101070E0
6.770817870E-1,-3.112462163E-2,-7.661445439E-2,9.873987198E0,9.874333481E0
6.790815530E-1,-2.394201607E-2,-7.900865376E-2,9.917082787E0,9.917426409E0
6.810813190E-1,-2.394201607E-2,-8.619125932E-2,9.955389977E0,9.955791869E0
6.830810850E-1,-1.675941236E-2,-8.140286058E-2,9.972148895E0,9.972495219E0
6.850808510E-1,-7.182605099E-3,-6.943184882E-2,9.945813179E0,9.946058122E0
6.870806170E-1,-7.182605099E-3,-5.985504389E-2,9.933841705E0,9.934024625E0
6.890803830E-1,-9.576806799E-3,-5.267243832E-2,9.933841705E0,9.933985964E0
6.910801830E-1,-1.675941236E-2,-5.027823523E-2,9.878775597E0,9.878917758E0
6.930799160E-1,-4.788403399E-3,-3.112462163E-2,9.756670952E0,9.756721772E0
6.950796490E-1,-4.788403399E-3,-4.548983276E-2,9.711181641E0,9.711289364E0
6.970793820E-1,-2.394201700E-3,-6.224924326E-2,9.636960983E0,9.637162326E0
6.990791150E-1,-2.394201700E-3,-6.224924326E-2,9.613018990E0,9.613220834E0
7.010788480E-1,-1.675941236E-2,-5.746084079E-2,9.632172585E0,9.632358555E0
7.030785810E-1,-3.830722719E-2,-5.506663769E-2,9.689633369E0,9.689865562E0
7.050783140E-1,-4.309562966E-2,-5.027823523E-2,9.701604843E0,9.701830841E0
7.070781140E-1,-3.351882473E-2,-6.224924326E-2,9.768642426E0,9.768898265E0
7.090778470E-1,-2.394201607E-2,-7.182604820E-2,9.838073730E0,9.838365054E0
7.110771470E-1,-2.873042040E-2,-7.182604820E-2,9.871592522E0,9.871895630E0
7.130768800E-1,-2.873042040E-2,-5.746084079E-2,9.955389977E0,9.955597258E0
7.150766130E-1,-2.394201607E-2,-5.506663769E-2,9.986514091E0,9.986694611E0
7.170763460E-1,-1.436521020E-2,-5.506663769E-2,9.943418503E0,9.943581358E0
7.190760790E-1,-1.675941236E-2,-3.830722719E-2,9.854833603E0,9.854922306E0
7.210758790E-1,-1.436521020E-2,-4.070143029E-2,9.830891609E0,9.830986359E0
7.230756790E-1,4.788403399E-3,-5.506663769E-2,9.806949615E0,9.807105385E0
7.250754120E-1,2.154781483E-2,-5.985504389E-2,9.823708534E0,9.823914510E0
7.270751450E-1,2.633621916E-2,-6.943184882E-2,9.840468407E0,9.840748591E0
7.290748780E-1,3.591302410E-2,-6.464344263E-2,9.804554939E0,9.804833812E0
7.310746110E-1,3.351882473E-2,-6.464344263E-2,9.790189743E0,9.790460535E0
7.330743440E-1,7.182605099E-3,-5.027823523E-2,9.775824547E0,9.775956478E0
7.350740770E-1,-9.576806799E-3,-3.830722719E-2,9.780612946E0,9.780692652E0
7.370738770E-1,-1.436521020E-2,-2.394201607E-2,9.804554939E0,9.804594695E0
7.390736100E-1,-3.830722719E-2,-2.394201700E-3,9.823708534E0,9.823783515E0
7.410733430E-1,-4.788403213E-2,0.000000000E0,9.794978142E0,9.795095185E0
7.430730760E-1,-4.309562966E-2,-9.576806799E-3,9.790189743E0,9.790289278E0
7.450728090E-1,-2.154781483E-2,-4.070143029E-2,9.799766541E0,9.799874752E0
7.470721090E-1,-1.915361360E-2,-5.027823523E-2,9.806949615E0,9.807097202E0
7.490718420E-1,-4.788403399E-3,-5.506663769E-2,9.826103210E0,9.826258676E0
7.510715750E-1,4.788403399E-3,-3.112462163E-2,9.862015724E0,9.862066001E0
7.530713750E-1,-7.182605099E-3,-1.915361360E-2,9.873987198E0,9.874008387E0
7.550711080E-1,-3.351882473E-2,0.000000000E0,9.885957718E0,9.886014541E0
7.570708410E-1,-3.830722719E-2,-2.394201700E-3,9.871592522E0,9.871667138E0
7.590705740E-1,-4.309562966E-2,-2.394201607E-2,9.835680008E0,9.835803560E0
7.610703070E-1,-3.351882473E-2,-5.027823523E-2,9.833285332E0,9.833470996E0
7.630700400E-1,-2.633621916E-2,-4.309562966E-2,9.823708534E0,9.823838364E0
7.650697730E-1,-2.873042040E-2,-5.267243832E-2,9.799766541E0,9.799950208E0
7.670695060E-1,-1.915361360E-2,-4.788403213E-2,9.768642426E0,9.768778561E0
7.690693060E-1,-1.436521020E-2,-4.309562966E-2,9.747094154E0,9.747200011E0
7.710694720E-1,-1.675941236E-2,-4.070143029E-2,9.711181641E0,9.711281395E0
7.730692050E-1,-7.182605099E-3,-4.788403213E-2,9.713575363E0,9.713696043E0
7.750689380E-1,-7.182605099E-3,-4.788403213E-2,9.794978142E0,9.795097818E0
7.770686710E-1,-1.436521020E-2,-4.548983276E-2,9.890746117E0,9.890861157E0
7.790693040E-1,-1.436521020E-2,-4.070143029E-2,9.919476509E0,9.919570413E0
7.810690370E-1,-4.788403399E-3,-3.351882473E-2,9.955389977E0,9.955447555E0
7.830687700E-1,-2.394201700E-3,-5.027823523E-2,9.962572098E0,9.962699255E0
7.850685700E-1,0.000000000E0,-5.267243832E-2,1.002482224E1,1.002496061E1
7.870683030E-1,1.915361360E-2,-5.746084079E-2,1.003918743E1,1.003937014E1
7.890680360E-1,1.915361360E-2,-4.788403213E-2,1.002242756E1,1.002256025E1
7.910677690E-1,1.675941236E-2,-2.873042040E-2,9.921871185E0,9.921926936E0
7.930675020E-1,4.788403399E-3,-2.154781483E-2,9.816526413E0,9.816551230E0
7.950672350E-1,2.394201700E-3,-2.154781483E-2,9.763854027E0,9.763878097E0
7.970669680E-1,-1.675941236E-2,-2.154781483E-2,9.653720856E0,9.653759451E0
7.990667680E-1,-3.351882473E-2,-2.633621916E-2,9.605836868E0,9.605931451E0
8.010665680E-1,-3.351882473E-2,-4.548983276E-2,9.562741280E0,9.562908220E0
8.030663010E-1,-4.788403213E-2,-5.506663769E-2,9.641749382E0,9.642025532E0
8.050660340E-1,-5.506663769E-2,-6.224924326E-2,9.711181641E0,9.711537271E0
8.070662000E-1,-5.746084079E-2,-8.379705995E-2,9.821314812E0,9.821840374E0
8.090659330E-1,-5.746084079E-2,-8.858546615E-2,9.921871185E0,9.922433016E0
8.110656660E-1,-5.027823523E-2,-8.140286058E-2,9.976937294E0,9.977396058E0
8.130653990E-1,-3.591302410E-2,-7.422025502E-2,1.007749462E1,1.007783192E1
8.150651990E-1,-3.591302410E-2,-5.985504389E-2,1.012059021E1,1.012083092E1
8.170649320E-1,-2.873042040E-2,-4.309562966E-2,1.014213753E1,1.014226978E1
8.190646650E-1,-2.633621916E-2,-2.873042040E-2,1.008228302E1,1.008235835E1
8.210643980E-1,-2.394201607E-2,-3.112462163E-2,1.001763916E1,1.001771612E1
8.230641310E-1,4.788403399E-3,-4.309562966E-2,9.914688110E0,9.914782927E0
8.250638640E-1,2.394201607E-2,-4.548983276E-2,9.840468407E0,9.840602675E0
8.270635970E-1,2.633621916E-2,-2.394201607E-2,9.828496933E0,9.828561379E0
8.290633300E-1,-1.675941236E-2,-2.394201700E-3,9.775824547E0,9.775839206E0
8.310630630E-1,-3.112462163E-2,0.000000000E0,9.751882553E0,9.751932222E0
8.330627960E-1,-5.506663769E-2,-7.182605099E-3,9.713575363E0,9.713734105E0
8.350625290E-1,-5.027823523E-2,-2.633621916E-2,9.708786964E0,9.708952869E0
8.370622620E-1,-3.591302410E-2,-4.309562966E-2,9.718363762E0,9.718525669E0
8.390610950E-1,-1.675941236E-2,-7.661445439E-2,9.799766541E0,9.800080352E0
8.410608280E-1,-2.154781483E-2,-8.858546615E-2,9.862015724E0,9.862437114E0
8.430605610E-1,-1.915361360E-2,-8.619125932E-2,9.926659584E0,9.927052246E0
8.450602940E-1,-1.915361360E-2,-6.224924326E-2,9.941024780E0,9.941238128E0
8.470600940E-1,-1.675941236E-2,-5.985504389E-2,9.952995300E0,9.953189386E0
8.490598270E-1,-9.576806799E-3,-6.224924326E-2,9.964966774E0,9.965165803E0
8.510595600E-1,-1.915361360E-2,-7.661445439E-2,9.962572098E0,9.962885096E0
8.530592930E-1,-3.830722719E-2,-7.182604820E-2,9.967360497E0,9.967692897E0
8.550590260E-1,-5.027823523E-2,-6.224924326E-2,9.955389977E0,9.955711549E0
8.570587590E-1,-6.464344263E-2,-5.506663769E-2,9.931447983E0,9.931811020E0
8.590584920E-1,-8.858546615E-2,-5.506663769E-2,9.871592522E0,9.872143568E0
8.610582250E-1,-9.816227108E-2,-5.506663769E-2,9.814131737E0,9.814777120E0
8.630580250E-1,-9.816227108E-2,-5.746084079E-2,9.809343338E0,9.810002768E0
8.650577580E-1,-6.224924326E-2,-5.746084079E-2,9.802161217E0,9.802527288E0
