"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.428109480E-1,-3.351882473E-2,1.029506698E-1,9.787796021E0,9.788394827E0
3.448106810E-1,-3.830722719E-2,9.576806426E-2,9.792584419E0,9.793127620E0
3.468104140E-1,-3.591302410E-2,8.140286058E-2,9.792584419E0,9.792988603E0
3.488101470E-1,-5.267243832E-2,1.029506698E-1,9.785401344E0,9.786084646E0
3.508099470E-1,-4.548983276E-2,1.029506698E-1,9.790189743E0,9.790836704E0
3.528096800E-1,-4.309562966E-2,1.149216816E-1,9.787796021E0,9.788565532E0
3.548094130E-1,-3.830722719E-2,9.816227108E-2,9.778219223E0,9.778786962E0
3.568091460E-1,-3.351882473E-2,1.053448766E-1,9.780612946E0,9.781237685E0
3.588088790E-1,-3.351882473E-2,8.858546615E-2,9.785401344E0,9.785859715E0
3.608074450E-1,-2.873042040E-2,8.858546615E-2,9.783007622E0,9.783450871E0
3.628071780E-1,-2.873042040E-2,9.576806426E-2,9.785401344E0,9.785912141E0
3.648069780E-1,-3.351882473E-2,1.029506698E-1,9.783007622E0,9.783606721E0
3.668067780E-1,-4.788403213E-2,9.097966552E-2,9.785401344E0,9.785941429E0
3.688065110E-1,-6.224924326E-2,8.858546615E-2,9.780612946E0,9.781212192E0
3.708062440E-1,-5.746084079E-2,9.097966552E-2,9.787796021E0,9.788387507E0
3.728064100E-1,-4.788403213E-2,1.005564705E-1,9.790189743E0,9.790823239E0
3.748061430E-1,-4.309562966E-2,1.101332754E-1,9.785401344E0,9.786115983E0
3.768058760E-1,-4.070143029E-2,8.379705995E-2,9.792584419E0,9.793027528E0
3.788056090E-1,-3.830722719E-2,8.858546615E-2,9.787796021E0,9.788271848E0
3.808054090E-1,-3.351882473E-2,9.576806426E-2,9.787796021E0,9.788321918E0
3.828051420E-1,-3.112462163E-2,9.337386489E-2,9.790189743E0,9.790684482E0
